Date,Video Folder,Video #,Trial,Tank,Group,activity_numchases,activity_timechases,novel_numchases,novel_timechases,food_numchases,food_timechases,pred_numchases,pred_timechases,,,,,
8/18/17,RH1,1,2,2,2J,0,0,6,4846,2,7804,NA,NA,,,,,
8/20/17,RH1,1,3,2,2J,3,2681,0,0,0,0,4,5330,,,,,
9/29/17,RH1,"1,2",1,2,2J_2,0,0,16,73823,2,2691,0,0,,,,,
10/1/17,RH1,1,2,2,2J_2,2,1502,0,0,0,0,11,20270,,,,,
10/3/17,RH1,1,3,2,2J_2,7,11576,0,0,0,0,0,0,,,,,
8/16/17,RH4 81617,"1,2",1,7,2K,0,0,0,0,0,0,0,0,,,,,
8/16/17,RH4 81617,"1,2",1,8,2L,0,0,11,21708,9,25189,0,0,,,,,
8/18/17,RH4,1,2,8,2L,0,0,1,295,3,3229,0,0,,,,,
8/20/17,RH4,1,3,8,2L,0,0,0,0,0,0,0,0,,,,,
9/29/17,RH4,1,1,7,2L_2,23,131984,20,173280,19,134640,11,167187,,,,,
10/1/17,RH4,1,2,7,2L_2,15,218284,13,75810,16,90047,24,103270,,,,,
10/3/17,RH4,1,3,7,2L_2,26,172716,0,0,0,0,5,29923,,,,,
8/16/17,RH1 81617,2,1,1,2M,1,1232,1,207,1,2471,0,0,,,,,
8/18/17,RH1,2,2,1,2M,0,0,0,0,0,0,0,0,,,,,
8/20/17,RH1,2,3,1,2M,0,0,0,0,0,0,0,0,,,,,
9/29/17,RH4,1,1,8,2M_2,0,0,0,0,0,0,0,0,,,,,
10/1/17,RH4,1,2,8,2M_2,0,0,1,1736,0,0,0,0,,,,,
10/3/17,RH4,1,3,8,2M_2,0,0,0,0,0,0,0,0,,,,,
8/16/17,RH1 81617,2,1,2,2N,1,871,5,4960,4,4569,NA,NA,,,,,
8/18/17,RH1,2,2,2,2N,0,0,0,0,0,0,0,0,,,,,
8/20/17,RH1,2,3,2,2N,0,0,2,2945,0,0,0,0,,,,,
9/29/17,RH1,3,1,1,2N_2,4,2133,18,50684,4,4468,18,45131,,,,,
10/1/17,RH1,2,2,1,2N_2,0,0,34,91441,8,12582,4,3250,,,,,
10/3/17,RH1,2,3,1,2N_2,12,30435,17,28484,20,36050,13,36475,,,,,
8/16/17,RH4 81617,"3,4",1,7,2O,NA,NA,20,98036,4,25602,NA,NA,,,,,
