date,camera,trial,tank,group_ID,move1,move2,move3,move4,move5,move6,move7,move8,move_numchases,move_timechases
82017,RH1,3,1,2M,12,34,-,-,-,-,-,-,0,0
82017,RH1,3,2,2J,11,23,-,-,-,-,-,-,4,5330
82017,RH1,3,2,2N,8,8,-,-,-,-,-,-,0,0
82017,RH2,3,4,4K,9,12,14,127,-,-,-,-,4,6789
82017,RH2,3,4,4N,3,3,3,6,-,-,-,-,1,4911
82017,RH3,3,5,8O,6,9,13,21,21,27,28,35,41,69614
82017,RH4,3,7,2O,3,4,-,-,-,-,-,-,13,133613
82017,RH4,3,8,2L,6,27,-,-,-,-,-,-,0,0
82017,RH4,3,8,2P,4,19,-,-,-,-,-,-,0,0
82017,RH5,3,10,4J,6,300,300,300,-,-,-,-,0,0
82017,RH6,3,12,8L,6,7,7,8,8,15,17,26,2,1313
92817,RH1,1,1,2A_2,7,112,-,-,-,-,-,-,0,0
92817,RH1,1,1,2E_2,8,22,-,-,-,-,-,-,0,0
92817,RH1,1,2,2B_2,24,37,-,-,-,-,-,-,6,1953
92817,RH1,1,2,2F_2,11,32,-,-,-,-,-,-,1,467
92817,RH2,1,3,4A_2,11,18,37,111,-,-,-,-,2,981
92817,RH2,1,3,4E_2,7,14,20,23,-,-,-,-,0,0
92817,RH2,1,4,4B_2,19,32,37,57,-,-,-,-,0,0
92817,RH2,1,4,4F_2,5,22,27,40,-,-,-,-,0,0
92817,RH3,1,5,8E_2,5,9,10,12,15,15,16,47,2,1619
92817,RH3,1,6,8B_2,5,5,7,8,12,30,60,300,4,1471
92817,RH3,1,6,8F_2,3,3,4,4,4,5,7,12,4,3474
92817,RH4,1,7,2C_2,7,47,-,-,-,-,-,-,0,0
92817,RH4,1,7,2G_2,51,53,-,-,-,-,-,-,0,0
92817,RH4,1,8,2D_2,35,60,-,-,-,-,-,-,0,0
92817,RH4,1,8,2H_2,17,19,-,-,-,-,-,-,8,14589
92817,RH5,1,9,4C_2,6,23,42,43,-,-,-,-,3,2053
92817,RH5,1,9,4G_2,3,6,7,14,-,-,-,-,1,689
92817,RH5,1,10,4D_2,6,8,13,14,-,-,-,-,4,6869
92817,RH5,1,10,4H_2,9,23,25,52,-,-,-,-,0,0
92817,RH6,1,11,8C_2,3,3,4,17,26,33,66,66,1,457
92817,RH6,1,11,8G_2,2,3,4,5,7,8,10,66,0,0
92817,RH6,1,12,8D_2,16,16,19,21,22,23,55,72,12,38631
92817,RH6,1,12,8H_2,3,4,5,6,7,7,12,13,1,933
92917,RH1,1,1,2I_2,4,23,-,-,-,-,-,-,13,26482
92917,RH1,1,1,2N_2,6,9,-,-,-,-,-,-,18,45131
92917,RH1,1,2,2J_2,60,66,-,-,-,-,-,-,0,0
92917,RH1,1,2,2O_2,15,17,-,-,-,-,-,-,0,0
92917,RH2,1,3,4I_2,5,101,111,200,-,-,-,-,0,0
92917,RH2,1,3,4M_2,38,42,56,60,-,-,-,-,0,0
92917,RH2,1,4,4J_2,10,18,18,21,-,-,-,-,0,0
92917,RH2,1,4,4O_2,11,13,36,44,-,-,-,-,6,5997
92917,RH3,1,5,8I_2,15,16,19,26,29,29,31,300,25,57666
92917,RH3,1,5,8M_2,2,3,3,6,7,9,13,21,8,8059
92917,RH3,1,6,8J_2,6,6,11,16,26,82,95,123,0,0
92917,RH3,1,6,8N_2,3,5,9,10,13,20,31,59,0,0
92917,RH4,1,7,2L_2,4,17,-,-,-,-,-,-,11,167187
92917,RH4,1,7,2P_2,2,6,-,-,-,-,-,-,0,0
92917,RH4,1,8,2M_2,57,130,-,-,-,-,-,-,0,0
92917,RH5,1,9,4K_2,7,26,34,36,-,-,-,-,0,0
92917,RH5,1,9,4P_2,7,12,12,13,-,-,-,-,1,2348
92917,RH5,1,10,4L_2,3,4,7,300,-,-,-,-,1,735
92917,RH6,1,11,8K_2,3,4,5,5,7,7,10,12,2,2022
92917,RH6,1,11,8O_2,4,4,6,7,7,11,14,14,14,18177
92917,RH6,1,12,8L_2,3,4,4,7,12,25,25,73,1,1744
92917,RH6,1,12,8P_2,6,7,8,10,23,30,30,42,1,964
93017,RH1,2,1,2A_2,31,113,-,-,-,-,-,-,0,0
93017,RH1,2,1,2E_2,16,36,-,-,-,-,-,-,1,899
93017,RH1,2,2,2B_2,5,300,-,-,-,-,-,-,3,18249
93017,RH1,2,2,2F_2,6,15,-,-,-,-,-,-,0,0
93017,RH2,2,3,4A_2,7,17,36,48,-,-,-,-,4,3847
93017,RH2,2,3,4E_2,3,9,10,16,-,-,-,-,2,1150
93017,RH2,2,4,4B_2,10,10,10,19,-,-,-,-,0,0
93017,RH2,2,4,4F_2,9,12,21,235,-,-,-,-,0,0
93017,RH3,2,5,8E_2,4,5,5,6,7,22,24,300,32,81872
93017,RH3,2,6,8F_2,2,3,3,3,4,14,15,55,18,30866
93017,RH4,2,7,2C_2,38,50,-,-,-,-,-,-,0,0
93017,RH4,2,7,2G_2,17,27,-,-,-,-,-,-,0,0
93017,RH4,2,8,2D_2,14,25,-,-,-,-,-,-,17,135106
10117,RH1,2,1,2I_2,23,111,-,-,-,-,-,-,11,32413
10117,RH1,2,1,2N_2,2,300,-,-,-,-,-,-,4,3250
10117,RH1,2,2,2J_2,6,6,-,-,-,-,-,-,11,20270
10117,RH1,2,2,2O_2,169,300,-,-,-,-,-,-,0,0
10217,RH1,3,1,2A_2,3,22,-,-,-,-,-,-,0,0
10217,RH1,3,2,2B_2,5,300,-,-,-,-,-,-,0,0
10217,RH2,3,3,4A_2,12,15,19,119,-,-,-,-,5,5916
10217,RH2,3,3,4E_2,3,3,14,15,-,-,-,-,0,0
10217,RH2,3,4,4B_2,3,6,8,45,-,-,-,-,7,21472
10217,RH3,3,5,8E_2,3,4,4,4,6,8,9,65,11,11454
10217,RH4,3,7,2C_2,15,59,-,-,-,-,-,-,2,2313
10217,RH4,3,7,2G_2,16,20,-,-,-,-,-,-,0,0
10217,RH4,3,8,2D_2,5,18,-,-,-,-,-,-,11,36973
10217,RH5,3,9,4G_2,5,6,62,300,-,-,-,-,6,11614
10217,RH5,3,10,4D_2,2,196,300,300,-,-,-,-,27,108379
10217,RH5,3,10,4H_2,5,11,12,14,-,-,-,-,0,0
10317,RH1,3,1,2I_2,11,14,-,-,-,-,-,-,4,9701
10317,RH1,3,1,2N_2,1,300,-,-,-,-,-,-,13,36475
10317,RH1,3,2,2J_2,13,300,-,-,-,-,-,-,0,0
10317,RH2,3,3,4M_2,14,19,29,31,-,-,-,-,0,0
10317,RH2,3,4,4O_2,6,7,13,21,-,-,-,-,0,0
10317,RH3,3,5,8M_2,1,7,8,8,8,10,10,11,34,37857
10317,RH3,3,6,8N_2,2,6,7,8,11,14,15,50,3,8544
10317,RH4,3,7,2L_2,11,300,-,-,-,-,-,-,5,29923
10317,RH4,3,7,2P_2,6,9,-,-,-,-,-,-,0,0
10317,RH4,3,8,2M_2,9,103,-,-,-,-,-,-,0,0
10317,RH5,3,9,4P_2,2,2,3,9,-,-,-,-,6,14344
10317,RH6,3,11,8K_2,4,4,6,7,7,8,10,11,0,0
10317,RH6,3,11,8O_2,4,4,5,5,9,10,12,13,26,88109
10317,RH6,3,12,8P_2,2,3,5,9,16,16,21,32,0,0
10717,RH1,1,1,2A_3,39,76,-,-,-,-,-,-,0,0
